League,College,Count,LeagueTotal,Percentage,Rank
MLB,University of Texas,107,7540,1.4190981432360743,1.0
NBA,University of Kentucky,109,4371,2.493708533516358,1.0
NFL,University of Notre Dame,523,24459,2.1382722106382106,1.0
MLB,University of Southern California,105,7540,1.3925729442970822,2.0
NBA,University of California-Los Angeles,94,4371,2.1505376344086025,2.0
NFL,University of Southern California,465,24459,1.9011406844106464,2.0
MLB,Arizona State University,101,7540,1.339522546419098,3.0
NBA,University of North Carolina at Chapel Hill,93,4371,2.127659574468085,3.0
NFL,Ohio State University,422,24459,1.7253362770350382,3.0
MLB,Stanford University,86,7540,1.1405835543766578,4.0
NBA,Duke University,77,4371,1.7616106154198123,4.0
NFL,University of Michigan,353,24459,1.443231530316039,4.0
MLB,University of Michigan,76,7540,1.0079575596816976,5.0
NBA,University of Kansas,71,4371,1.62434225577671,5.0
NFL,Pennsylvania State University,345,24459,1.4105237335949956,5.0
MLB,University of California-Los Angeles,70,7540,0.9283819628647214,6.0
NBA,Indiana University,66,4371,1.5099519560741248,6.0
NFL,University of Nebraska,335,24459,1.3696389876936914,6.0
MLB,University of Arizona,68,7540,0.9018567639257294,7.0
NBA,University of Notre Dame,57,4371,1.3040494166094716,7.0
NFL,Louisiana State University,330,24459,1.3491966147430394,7.0
MLB,Louisiana State University,66,7540,0.8753315649867375,8.0
NBA,University of Louisville,56,4371,1.2811713566689544,8.0
NFL,University of Oklahoma,325,24459,1.3287542417923872,8.0
MLB,College of the Holy Cross,64,7540,0.8488063660477453,9.0
NBA,University of Michigan,54,4371,1.2354152367879203,9.0
NFL,University of Miami,316,24459,1.2919579704812134,9.0
MLB,Florida State University,61,7540,0.8090185676392574,10.0
NBA,University of Arizona,51,4371,1.1667810569663692,10.0
NFL,University of Alabama,315,24459,1.287869495891083,10.0
MLB,University of Alabama,60,7540,0.7957559681697612,11.0
MLB,University of Oklahoma,60,7540,0.7957559681697612,11.0
MLB,University of North Carolina at Chapel Hill,58,7540,0.7692307692307693,12.0
NFL,University of California-Los Angeles,300,24459,1.2265423770391268,12.0
NBA,Ohio State University,45,4371,1.029512697323267,13.0
MLB,University of Miami,54,7540,0.7161803713527852,14.0
MLB,University of Notre Dame,54,7540,0.7161803713527852,14.0
NBA,Louisiana State University,42,4371,0.9608785175017158,15.0
NBA,University of Southern California,39,4371,0.8922443376801648,17.0
NFL,University of Texas,285,24459,1.1652152581871704,17.0
MLB,Ohio State University,44,7540,0.583554376657825,21.0
NBA,Florida State University,33,4371,0.7549759780370624,21.0
NFL,Florida State University,269,24459,1.0997996647450836,21.0
NBA,Stanford University,31,4371,0.7092198581560284,23.0
NBA,University of Texas,29,4371,0.6634637382749943,25.0
NBA,University of Alabama,28,4371,0.6405856783344772,26.0
NFL,Arizona State University,243,24459,0.9934993254016927,26.0
MLB,University of Nebraska,35,7540,0.4641909814323607,28.0
NFL,Stanford University,234,24459,0.9567030540905188,28.0
MLB,Duke University,34,7540,0.4509283819628647,29.0
NBA,Arizona State University,25,4371,0.5719514985129261,29.0
MLB,University of Kentucky,29,7540,0.38461538461538464,34.0
NBA,University of Oklahoma,20,4371,0.4575611988103409,34.0
NFL,University of North Carolina at Chapel Hill,206,24459,0.8422257655668669,34.0
NFL,Indiana University,184,24459,0.7522793245839977,38.0
MLB,Indiana University,24,7540,0.3183023872679045,39.0
MLB,Pennsylvania State University,24,7540,0.3183023872679045,39.0
NBA,University of Miami,15,4371,0.34317089910775567,39.0
NBA,Pennsylvania State University,12,4371,0.27453671928620454,42.0
MLB,University of Kansas,20,7540,0.2652519893899204,43.0
NBA,College of the Holy Cross,11,4371,0.2516586593456875,43.0
NBA,University of Nebraska,10,4371,0.22878059940517045,44.0
NFL,University of Arizona,157,24459,0.6418905106504763,46.0
NFL,University of Kentucky,155,24459,0.6337135614702154,47.0
NFL,University of Kansas,143,24459,0.5846518663886504,50.0
NFL,University of Louisville,131,24459,0.5355901713070853,56.0
MLB,University of Louisville,5,7540,0.0663129973474801,58.0
NFL,Duke University,103,24459,0.42111288278343345,66.0
NFL,College of the Holy Cross,68,24459,0.2780162721288687,79.0
